card_id,pr_id,pr_state,merged,repo_id,html_url,categoria_rechazo
3252917201-A,3252917201,closed,false,262395224,https://github.com/dotnet/maui/pull/30761,
3256278196-A,3256278196,closed,false,220546758,https://github.com/kubernetes-sigs/headlamp/pull/3683,
3258264488-A,3258264488,closed,false,41881900,https://github.com/microsoft/vscode/pull/257578,
3263180193-A,3263180193,closed,false,159556794,https://github.com/go-vikunja/vikunja/pull/1177,
3269722535-A,3269722535,closed,false,456549280,https://github.com/ydb-platform/ydb/pull/21775,
3272938687-A,3272938687,closed,false,41881900,https://github.com/microsoft/vscode/pull/258424,
3134586800-A,3134586800,closed,false,964314175,https://github.com/mediar-ai/terminator/pull/106,
3138033651-A,3138033651,closed,false,33837371,https://github.com/getsentry/sentry-docs/pull/14007,
3153749441-A,3153749441,closed,false,137814779,https://github.com/getsentry/sentry-python/pull/4487,
3161086701-A,3161086701,closed,false,124290023,https://github.com/weecology/DeepForest/pull/1080,
3161682874-A,3161682874,closed,false,948491206,https://github.com/deco-cx/chat/pull/594,
3180733109-A,3180733109,closed,false,375847433,https://github.com/osmosis-labs/osmosis-frontend/pull/4098,
3213453299-A,3213453299,closed,false,564072810,https://github.com/Arize-ai/phoenix/pull/8477,
3216373575-A,3216373575,closed,false,881458615,https://github.com/browser-use/browser-use/pull/2380,
3219603517-A,3219603517,closed,false,529729250,https://github.com/thirdweb-dev/js/pull/7582,
3229934750-A,3229934750,closed,false,151103020,https://github.com/callstack/react-native-testing-library/pull/1792,
3235928576-A,3235928576,closed,false,677376114,https://github.com/mostafaalagamy/Metrolist/pull/997,
3249027193-A,3249027193,closed,false,156734327,https://github.com/imbhargav5/rooks/pull/1827,
3257085745-A,3257085745,closed,false,826170402,https://github.com/elizaOS/eliza/pull/5671,
3260361394-A,3260361394,closed,false,881458615,https://github.com/browser-use/browser-use/pull/2533,
2765877627-A,2765877627,closed,false,820087727,https://github.com/onlook-dev/onlook/pull/976,
2767735199-A,2767735199,closed,false,894659403,https://github.com/goat-sdk/goat/pull/172,
2767878178-A,2767878178,closed,false,762304524,https://github.com/ComposioHQ/composio/pull/1154,
2776299690-A,2776299690,closed,false,95743138,https://github.com/box/box-ui-elements/pull/3832,
2776604195-A,2776604195,closed,false,95743138,https://github.com/box/box-ui-elements/pull/3834,
2778468131-A,2778468131,closed,false,820087727,https://github.com/onlook-dev/onlook/pull/1003,
2778508344-A,2778508344,closed,false,820087727,https://github.com/onlook-dev/onlook/pull/1004,
2788087431-A,2788087431,closed,false,678526156,https://github.com/marimo-team/marimo/pull/3432,
2792640916-A,2792640916,closed,false,275993885,https://github.com/appsmithorg/appsmith/pull/38705,
2795968909-A,2795968909,closed,false,526514610,https://github.com/dust-tt/dust/pull/10080,
2797405312-A,2797405312,closed,false,430749584,https://github.com/OneKeyHQ/app-monorepo/pull/6548,
2798930478-A,2798930478,closed,false,826170402,https://github.com/elizaOS/eliza/pull/2550,
