card_id,pr_id,population_case_type,pr_state,merged,repo_id,html_url,resumen_justificacion_categoria,horas_creacion_a_primera_aprobacion,horas_creacion_a_merge,horas_creacion_a_aceptacion,fuente_tiempo_aceptacion,categoria_retrabajo_pre_merge
3104405109-A,3104405109,merged_after_rework,closed,true,33373292,https://github.com/microsoft/ApplicationInsights-JS/pull/2583,,742.318,910.655,742.318,primera_review_aprobada,
3105376649-A,3105376649,merged_after_rework,closed,true,143808059,https://github.com/cybersemics/em/pull/2994,,,53.204,53.204,merge_sin_review_aprobada,
3105630972-A,3105630972,merged_after_rework,closed,true,65654242,https://github.com/wvlet/airframe/pull/3947,,,51.580,51.580,merge_sin_review_aprobada,
3108675807-A,3108675807,merged_after_rework,closed,true,2327138,https://github.com/EduMIPS64/edumips64/pull/1360,,39.066,39.287,39.066,primera_review_aprobada,
3108861090-A,3108861090,merged_after_rework,closed,true,136202695,https://github.com/mlflow/mlflow/pull/16007,,,1.118,1.118,merge_sin_review_aprobada,
3113149474-A,3113149474,merged_after_rework,closed,true,470727349,https://github.com/celestiaorg/docs/pull/2062,,0.623,0.632,0.623,primera_review_aprobada,
3114898378-A,3114898378,merged_after_rework,closed,true,153795464,https://github.com/artprima/prometheus-metrics-bundle/pull/118,,,8.181,8.181,merge_sin_review_aprobada,
3115119469-A,3115119469,merged_after_rework,closed,true,111599187,https://github.com/kanisterio/kanister/pull/3501,,23.651,27.289,23.651,primera_review_aprobada,
3115680597-A,3115680597,merged_after_rework,closed,true,156939672,https://github.com/microsoft/onnxruntime/pull/24947,,1.523,22.673,1.523,primera_review_aprobada,
3115762277-A,3115762277,merged_after_rework,closed,true,696529789,https://github.com/dotnet/aspire/pull/9676,,170.305,170.582,170.305,primera_review_aprobada,
3120162244-A,3120162244,merged_after_rework,closed,true,136202695,https://github.com/mlflow/mlflow/pull/16088,,1.200,1.872,1.200,primera_review_aprobada,
3120246489-A,3120246489,merged_after_rework,closed,true,111599187,https://github.com/kanisterio/kanister/pull/3506,,,323.042,323.042,merge_sin_review_aprobada,
3124709717-A,3124709717,merged_after_rework,closed,true,221931137,https://github.com/celestiaorg/celestia-core/pull/1918,,1.806,1.990,1.806,primera_review_aprobada,
3125708547-A,3125708547,merged_after_rework,closed,true,221931137,https://github.com/celestiaorg/celestia-core/pull/1935,,69.080,115.182,69.080,primera_review_aprobada,
3125790678-A,3125790678,merged_after_rework,closed,true,33010673,https://github.com/microsoft/perfview/pull/2227,,2.414,3.461,2.414,primera_review_aprobada,
3125817776-A,3125817776,merged_after_rework,closed,true,108311273,https://github.com/Azure/azure-sdk-for-js/pull/34735,,56.839,73.515,56.839,primera_review_aprobada,
3129041184-A,3129041184,merged_after_rework,closed,true,456470362,https://github.com/polkadot-cloud/polkadot-staking-dashboard/pull/2801,,,4.905,4.905,merge_sin_review_aprobada,
3131854557-A,3131854557,merged_after_rework,closed,true,824265054,https://github.com/CommunityToolkit/Aspire/pull/724,,147.503,147.506,147.503,primera_review_aprobada,
3134530187-A,3134530187,merged_after_rework,closed,true,541735786,https://github.com/lukasoppermann/style-dictionary-utils/pull/114,,0.384,0.477,0.384,primera_review_aprobada,
3134926821-A,3134926821,merged_after_rework,closed,true,41881900,https://github.com/microsoft/vscode/pull/251156,,48.036,48.921,48.036,primera_review_aprobada,
3137658330-A,3137658330,merged_after_rework,closed,true,541735786,https://github.com/lukasoppermann/style-dictionary-utils/pull/116,,0.015,50.989,0.015,primera_review_aprobada,
3138223553-A,3138223553,merged_after_rework,closed,true,61973853,https://github.com/microsoft/vscode-mssql/pull/19579,,311.220,331.728,311.220,primera_review_aprobada,
3139271869-A,3139271869,merged_after_rework,closed,true,696529789,https://github.com/dotnet/aspire/pull/9849,,92.449,94.367,92.449,primera_review_aprobada,
3141472779-A,3141472779,merged_after_rework,closed,true,416855086,https://github.com/github/gh-gei/pull/1359,,185.853,185.988,185.853,primera_review_aprobada,
3141802223-A,3141802223,merged_after_rework,closed,true,42548553,https://github.com/Azure/azure-functions-host/pull/11115,,1006.168,1007.051,1006.168,primera_review_aprobada,
3141911282-A,3141911282,merged_after_rework,closed,true,61973853,https://github.com/microsoft/vscode-mssql/pull/19596,,285.279,305.053,285.279,primera_review_aprobada,
3142914272-A,3142914272,merged_after_rework,closed,true,65080725,https://github.com/microsoft/testfx/pull/5767,,0.600,6.024,0.600,primera_review_aprobada,
3147419646-A,3147419646,merged_after_rework,closed,true,56319070,https://github.com/nkdAgility/azure-devops-migration-tools/pull/2742,,21.008,21.152,21.008,primera_review_aprobada,
3147503921-A,3147503921,merged_after_rework,closed,true,274495425,https://github.com/remotion-dev/remotion/pull/5375,,6.346,19.091,6.346,primera_review_aprobada,
3150623138-A,3150623138,merged_after_rework,closed,true,55075302,https://github.com/dotnet/android/pull/10206,,1.711,7.296,1.711,primera_review_aprobada,
3150709470-A,3150709470,merged_after_rework,closed,true,101261687,https://github.com/Azure/autorest.typescript/pull/3295,,61.796,62.468,61.796,primera_review_aprobada,
3151002300-A,3151002300,merged_after_rework,closed,true,323665366,https://github.com/microsoft/kiota/pull/6671,,18.277,25.051,18.277,primera_review_aprobada,
3151249906-A,3151249906,merged_after_rework,closed,true,780660899,https://github.com/vltpkg/vltpkg/pull/864,,22.191,22.284,22.191,primera_review_aprobada,
3151439757-A,3151439757,merged_after_rework,closed,true,445862991,https://github.com/tomhrr/cosh/pull/168,,,12.972,12.972,merge_sin_review_aprobada,
